region,beta_adj,beta_adj_ste,no__co_ch4_hcho,no__co_ch4_hcho_ste,ln_beta_adj,ln_no__co_ch4_hcho
AUS,0.09143122176411639,0.0037127304116558154,0.16328582625705287,0.01740401710198929,-2.392168264058855,-1.8122530785041433
BRA,0.019461802497290348,0.000608740133692417,0.020754614990989736,0.0009506459216969611,-3.9393015807537406,-3.8749866478303656
BTH,3.4007394980291057,0.17537740278518457,3.60254702784013,0.16874155941804753,1.223992907392871,1.2816411030298265
CA,0.37273567553801107,0.022367993772127347,1.2290074937287447,0.13077239360400497,-0.9868857552158523,0.2062069279849544
CCE,0.1951802733653915,0.010298771816196609,0.9076952273170315,0.06399064447080174,-1.633831668688844,-0.09684660945937809
COD,0.020571133123642196,0.0009813688365049055,0.02696123549308974,0.002450578420834081,-3.8838664906097558,-3.613355167093031
DEU,0.3716171709582441,0.01036377254493815,0.7981217062800728,0.10365499727055977,-0.9898910649339041,-0.22549417902599703
FIN,0.05690735904602517,0.0022162596192336135,0.14651670500852185,0.02516589210313577,-2.866330613242074,-1.9206158296637166
FRA,0.1532481933873986,0.0028455580794031774,0.29404177857979785,0.021190437895896468,-1.8756964928982813,-1.2240334177263563
GBA,0.3616390157703694,0.02548664159470925,1.2952401401744573,0.15796515092397242,-1.0171087586895944,0.2586961143884442
GBR,0.2498696774946997,0.011006753310712271,0.6225147848664637,0.07732103806649528,-1.3868157870599724,-0.47398790013581993
IDN,0.014404443031995182,0.00046930799546374667,0.019307158066186256,0.0008290311320978979,-4.240218576101505,-3.9472793675735076
IL,0.14092635185987856,0.004704186959635203,0.32962523240851577,0.054921362055484056,-1.959517852299263,-1.10979892923949
IND,0.2350109432474813,0.01579635695466297,0.9403861410964157,0.06412703269491156,-1.448123198911629,-0.06146469966810085
JPN,0.15412330416716558,0.00797577445415717,0.5099802084804158,0.04650690838119409,-1.8700023205287015,-0.6733833609179184
KOR,0.11481472956343312,0.006300273825737354,0.44113187907859064,0.07372924544318964,-2.164435497025538,-0.8184114027108091
MYS,0.033185492657336904,0.0014311221378265537,0.07628290319631005,0.012581503986548307,-3.405642466710601,-2.5733064392427867
NOR,0.10535325542912927,0.0033711169731735235,0.4269263427572615,0.08797015731566014,-2.250436238126033,-0.8511437800307589
NY,0.158028960358241,0.008028002284289711,0.4805078682156006,0.07483917117266596,-1.8449769693447657,-0.7329116756473777
NZL,0.060217753033854,0.001493641753245046,0.06475711511100221,0.004114834321661942,-2.809788069247499,-2.7371116985552972
QTP,0.1289242155502422,0.0040525123067282785,0.13873084299703356,0.007262383947556764,-2.048530523607025,-1.9752196043777728
SGP,0.08594897279121873,0.005505681842611516,0.11773159288960446,0.008521644491590843,-2.4540014984612433,-2.13934788196059
TO,0.14188287795639723,0.011243654698714795,0.44638654551658946,0.06938426214457762,-1.9527533648420898,-0.8065700083410517
VAN,0.059756048826508125,0.0030506875001500133,0.10938836907493502,0.016129172921124466,-2.8174848577043994,-2.212850710231762
WA,0.15112337997079503,0.0046066533943797654,0.34977529407201063,0.044723681497093604,-1.8896586899008658,-1.0504643476169164
YYN,0.17075273443494013,0.006339147683193147,0.2565298320744937,0.026601411592152863,-1.7675387663992002,-1.3605103167501522
