region,o3net_mole,o3_ppb,Sn_adj,Sn_err,Sv_adj,Sv_err,SnSv_adj
AUS,0.3084464926253381,21.90820922777778,0.744778303,0.1386739,0.664762847,0.0566649,1.120366918
BRA,0.7144273725241875,21.903137622916667,0.834818615,0.0508381,0.468674317,0.1016394,1.781233972
BTH,0.537185759624458,21.578030030416667,-2.407484721,0.1837589,1.250009397,0.174193,-1.925973298
CA,0.4848903331688933,32.77468693666667,-0.38120772,0.2740609,1.909329495,0.0670239,-0.199655283
CCE,1.2642320569691452,33.46897142555556,0.587435382,0.0848646,0.709612551,0.0334955,0.827825524
COD,1.1273340780920822,29.8988526,0.42763539,0.0186846,0.166011687,0.1449888,2.575935449
DEU,0.2469304556387715,24.981627899166664,-1.250962929,0.282724,1.892137224,0.0899827,-0.661137529
FIN,0.1296673483431675,22.49947007055556,0.24451423,0.3316645,1.041304772,0.108084,0.234815239
FRA,0.3798355178316052,29.816768012083333,0.479051841,0.0808901,0.998393248,0.0329644,0.479822797
GBA,1.7758077729700903,32.03482857444445,0.214859062,0.0995392,1.028753636,0.0561901,0.208853756
GBR,0.1498413076586744,28.394439191666667,-1.496627809,0.1126487,2.66951348,0.1104726,-0.560636918
IDN,0.9373093196776138,31.432592472222225,0.57656167,0.0265543,0.281573488,0.0693775,2.047641892
IL,0.6643734039943999,30.5581250125,1.608626865,0.6082341,2.774652792,0.0990592,0.579757896
IND,0.900254562432433,42.44012654861111,0.694540219,0.0335565,0.593381731,0.04861,1.170477929
JPN,0.751446014716821,35.406605506666665,-0.092597033,0.0765681,1.690459201,0.0534256,-0.05477626
KOR,0.5617434319816256,36.861011775,-0.325759237,0.239789,0.527922992,0.0767369,-0.617058251
MYS,1.831335066444584,34.854011686111114,1.136153357,0.0275718,0.599630944,0.0863958,1.894754381
NOR,0.1425040206899502,21.639576981111112,-0.427832389,0.5381185,0.792409432,0.1070704,-0.539913297
NY,0.4820570243511243,27.82615033,0.041043731,0.2287202,0.905307886,0.0872189,0.045336765
NZL,0.2027243156576092,24.71300129444444,1.72661641,0.0769593,1.550979906,0.069801,1.113242282
QTP,0.5521113117544969,48.65194825185185,3.354615951,0.1295044,1.449086216,0.040323,2.314987138
TO,0.4474725565423552,27.157566180555552,0.541184818,0.2709837,2.49455364,0.1308603,0.216946555
WA,0.3797781968723026,22.75088418958333,0.268440665,0.1649369,1.176143238,0.0693991,0.228238072
YYN,1.3850093151924192,39.14542080833333,1.37269242,0.72249,0.794422967,0.1116408,1.727911298
