region,ho2_mole,o3,beta_o3,no__co_ch4_hcho
AUS,0.09143122176411639,558660640316.2915,51079024895.64211,0.15959273134248175
BRA,0.019461802497290348,530918957449.1396,10332639891.942453,0.020451526549597025
CA,0.37273567553801107,826252913982.3059,307973938058.44495,1.200259179565094
CCE,0.1951802733653915,850364554472.6385,165974386202.20895,0.885477171064836
COD,0.020571133123642196,731485084697.3153,15047477055.26716,0.02654412739097142
DEU,0.3716171709582441,642879926385.623,238905219509.26947,0.7781222048658822
FIN,0.05690735904602517,589484642040.7819,33546014176.732395,0.14275214744143483
FRA,0.1532481933873986,764287743677.3276,117125715946.68163,0.2870075263898165
GBA,0.3616390157703694,791941611827.7637,286396985048.9924,1.2661659807955274
GBR,0.2498696774946997,733203213161.4365,183205250410.7257,0.6072933263059801
IDN,0.014404443031995182,766654523240.776,11043231405.243185,0.019001202383505448
IL,0.14092635185987856,774022876259.1619,109080220207.29388,0.3216874430969361
IND,0.2350109432474813,1033775098828.8484,242948461081.52588,0.9191874332228189
JPN,0.15412330416716558,902626318418.327,139115750622.87668,0.49829308301679637
KOR,0.11481472956343312,935649980308.7726,107426399455.18326,0.4305727103448891
MYS,0.033185492657336904,851255325853.6328,28249327365.634666,0.07502072340554358
NOR,0.10535325542912927,571652077193.2377,60225407305.13149,0.41551677740265036
NY,0.158028960358241,715089810517.9323,113004899318.92038,0.468547208299758
NZL,0.060217753033854,632040271526.1875,38060044978.21398,0.06321260765181928
QTP,0.1289242155502422,1312702353476.314,169239121172.89053,0.1352347498058962
SGP,0.08594897279121873,1180128694328.7998,101430849039.0025,0.11584476265268075
TO,0.14188287795639723,699187940917.5184,99202797289.78494,0.43524199261921653
VAN,0.059756048826508125,565330476018.5585,33781915528.07806,0.1066523049879373
WA,0.15112337997079503,588436268144.2241,88926477739.35622,0.34119620377906845
YYN,0.17075273443494013,986513169106.3555,168449821180.9887,0.25087142221260667
