region,beta,beta_ste,o3_ppb,HOx,HOx_ste
AUS,8.514529705006105,0.5042243321543507,21.90820922777778,0.388645626690948,0.023015314803322053
BRA,47.56364916721938,1.5505588280157643,21.903137622916667,2.171545008120426,0.07079163061978189
BTH,0.2584727380957517,0.011399494481056947,21.578030030416663,0.011978514152191155,0.000528291714535019
CA,2.1290487231096167,0.12494231170302568,32.77468693666667,0.06496015437840061,0.003812158814650538
CCE,1.9723420873851054,0.11103362241468502,33.46897142555555,0.05893046614151712,0.00331750925365768
COD,27.340055302420637,2.023979284650374,29.898852599999998,0.914418210898857,0.06769421260835856
DEU,2.514761850146337,0.07148960752395579,24.981627899166668,0.10066445070339967,0.002861687309270207
FIN,14.640855288730965,0.7108233372426301,22.499470070555553,0.650720005529866,0.03159289241095795
FRA,5.472909641384025,0.11469706155797846,29.816768012083337,0.18355140433618128,0.0038467301858973154
GBA,1.5566644602083075,0.11288499678187668,32.03482857444445,0.04859287623752497,0.0035238208476610945
GBR,3.060842793360927,0.16416453910217302,28.39443919166667,0.10779726173493988,0.005781573567769311
IDN,58.986257817828005,2.178220740338339,31.432592472222222,1.8765953800964923,0.06929815739071755
IL,6.612443219329764,0.22636976903057535,30.5581250125,0.21638903619331687,0.007407842233055115
IND,2.8127571232265516,0.18424149043889881,42.440126548611104,0.06627588916363875,0.00434120973291321
JPN,3.685083893875856,0.2564550963348342,35.406605506666665,0.10407899433290764,0.007243142703599378
KOR,6.5119313694565495,0.3995685887391006,36.861011775,0.17666176417526047,0.010839870353480024
MYS,18.758252683309053,0.8933059247226458,34.85401168611111,0.5381949387130086,0.025629931290767804
NOR,8.526997290729337,0.31110944327111095,21.639576981111112,0.3940463946301924,0.014376872687607253
NY,5.324611111369648,0.2980204206312856,27.826150329999997,0.19135277601188924,0.010710084474386782
NZL,15.356271399614517,0.32727571726580296,24.713001294444442,0.6213843157555555,0.01324305831438513
QTP,5.185158685307049,0.09744800658883224,48.65194825185185,0.10657658884420286,0.002002962061958599
SGP,10.28268934110676,0.4552994007836396,48.452249583333334,0.21222315639692843,0.009396868147485438
TO,5.188509367881506,0.3780097964182315,27.157566180555552,0.19105207489456139,0.013919133765708408
VAN,13.069561390694851,0.6486688752239236,21.54850107833333,0.6065183533269553,0.030102737673765607
WA,5.4494191086892405,0.24444598319412933,22.750884189583335,0.23952559660007844,0.010744460793574379
YYN,4.285531501374035,0.20769045804969885,39.145420808333334,0.10947721120069617,0.005305613115429465
