region,LER,LER_NOx,LER_NOx2,FNR_NO2,FNR_NOx,FNR_NOy,VOC_NOx,O3_NOy,O3_HNO3,HOP,Region,Sn,Sn_err,Sv,Sv_err,SnSv,R2,ln_LER,ln_LER_NOx,ln_LER_NOx2,ln_FNR_NO2,ln_FNR_NOx,ln_FNR_NOy,ln_VOC_NOx,ln_HOP,SnSv_adj,ln_LER_NOx_adj,LER_NOx_adj,ln_LER_NOx2_adj,LER_NOx2_adj,ln_HOP_adj,HOP_adj,k_regime,Sn_adj,Sv_adj
AUS,0.0034995650058946,0.0003664201718283,0.1139992779518717,0.4429757615026863,0.339544556756769,0.2823323637170308,5.233270352491245,11.123599302979349,104.1778070573023,0.388645626690948,AUS,0.6785578,0.1386739,0.7296371,0.0566649,0.929993554,0.7189,-5.655116602240783,-7.911729872563182,-2.1715631643632114,-0.8142402248747798,-1.0801500983069225,-1.2646703073003205,1.6550363890579238,-0.9450873359333564,1.1203669182830633,-7.352208901106544,0.0006411745039085544,-1.3722927414925714,0.2535250253503477,-1.1317559929047858,0.32246651006288923,1.097590069689238,0.744778302990176,0.6647628473958251
BRA,0.0023650053338028,0.0241742216501898,12.51778799077028,5.869522056204953,4.778273592870123,3.453524341300948,98.62642361159756,24.151585977818407,453.1948317437704,2.171545008120426,BRA,1.039605,0.0508381,0.3763526,0.1016394,2.762316509,0.6515,-6.046975001733046,-3.7224684346372165,2.5271506720090544,1.7697732090949392,1.5640793082249504,1.2393952578211533,4.5913392136534705,0.7754388995200233,1.781233971517755,-5.079875190447893,0.006220685368448093,0.8043953900650423,2.235344578628688,-0.281708414800776,0.7544936516436813,0.8030151985499395,0.8348186154885098,0.46867431734742515
BTH,0.0001065979244876,2.741618148085816e-07,0.0038172350831991,0.0476149904183272,0.0169506374715627,0.0154047201992514,0.4296869569561021,0.3040921862783369,6.344929278610929,0.0119785141521911,BTH,-9.901132,0.1837589,4.863086,0.174193,-2.035977155,0.8649,-9.146446516519635,-15.109547339878398,-5.5682289186431495,-3.0446076425683817,-4.077449836921124,-4.1730813100811615,-0.8446983424991982,-4.424640721349877,-1.9259732975258106,-14.192869200824333,6.856701191011195e-07,-5.927205333011274,0.002665921951897911,-3.714723766630552,0.024362169829892297,0.9726098879866455,-9.62993888546099,5.000037589651539
CA,0.0008075808062903,1.450533940208736e-05,0.0153834739301537,0.134979948159556,0.0875671151364122,0.0713100312853877,1.086754644147199,2.316263287395046,17.759434776224026,0.0649601543784006,CA,-0.437245,0.2740609,1.66463,0.0670239,-0.26266798,0.804,-7.1214674381647525,-11.140993741692762,-4.174461467188197,-2.0026290437271372,-2.4353497495054164,-2.640718270218312,0.08319586430500753,-2.733981206616751,0.1996552826181699,-9.735846856391412,5.912558266560127e-05,-3.0418400184994097,0.04774695333949775,-2.1335950794719425,0.11841083137934207,0.8718400905281236,-0.3812077203829694,1.9093294952651674
CCE,0.0004684099812924,0.0001937151154612,0.1066917613342931,0.2269742234585492,0.1525551385322437,0.1056178738017269,3.0224498340795707,2.5989992316961845,14.683448770675096,0.0589304661415171,CCE,0.3448996,0.0848646,1.208617,0.0334955,0.285367159,0.8741,-7.666166617132996,-8.549121955174142,-2.237811337017361,-1.4829188209944084,-1.8802291841373748,-2.2479276625466964,1.1060677058767865,-2.8313970700750692,0.8278255236781424,-7.9929752758919115,0.0003378274567224028,-1.7317224653589747,0.17697930655548347,-1.845449533845256,0.1579542991240402,1.703206910276498,0.5874353820716,0.7096125507169259
COD,0.0017155767057562,0.0155483938938858,8.918086889843932,5.273860758120658,4.383425596335114,2.704649348046433,86.08655751028023,16.9883678882664,233.76007467156205,0.914418210898857,COD,0.3885972,0.0186846,0.1826891,0.1449888,2.127095705,0.8318,-6.36800598331289,-4.163797932258149,2.1880814493562877,1.6627626860127263,1.4778305183277074,0.994972272859177,4.455353272767097,-0.089467251018686,2.575935448607874,-3.9910552233914585,0.01848020308480544,1.625091352130164,5.078882982767879,-0.13967341768412256,0.8696421987908367,1.1004592683240835,0.4276353903847875,0.16601168735506378
DEU,0.0006666530434397,1.596164783787737e-05,0.0127910048216666,0.0949521806016497,0.0702071345869898,0.0545763824180001,0.5569303606801027,2.6280607775695204,17.000702494548396,0.1006644507033996,DEU,-1.182926,0.282724,2.000965,0.0899827,-0.591177757,0.856,-7.313240822139545,-11.045321723285014,-4.3590131034072,-2.354381876198719,-2.656305340821281,-2.908154046257689,-0.5853150725801903,-2.2959625633978007,-0.6611375293696486,-11.029926709412763,1.62092788785921e-05,-4.096335009876638,0.016633525532878824,-2.437087638530034,0.08741506536917916,1.057515794658241,-1.2509629289118942,1.8921372239614207
FIN,0.0016628829120005,0.0007643561335236,0.2082579667058524,0.455268547550593,0.3527525126539158,0.2301048029572392,3.494705866884511,12.74810566510298,75.97075535719677,0.650720005529866,FIN,0.1592758,0.3316645,1.598572,0.108084,0.0996363,0.7163,-6.399202488946718,-7.1764767340533195,-1.56897774317662,-0.7868678197422921,-1.041988565230172,-1.4692204088112515,1.2512492138851874,-0.42967582832514983,0.2348152386341853,-8.492461402947141,0.00020500803121245248,-2.219384442840591,0.10867598452026707,-1.4245396095910856,0.24061921649098428,1.5351624639655828,0.24451422957808935,1.0413047723109512
FRA,0.0017833769602738,0.0001447713410275,0.0584250172396717,0.226905908424583,0.1819440918550265,0.1317856588861786,1.9326169662352288,5.987069132150415,31.295401549307908,0.1835514043361812,FRA,0.4666636,0.0808901,1.024897,0.0329644,0.455327316,0.7047,-6.3292465433366285,-8.840355018682422,-2.8400111034837168,-1.4832198477619765,-1.7040558267068648,-2.026578472498737,0.6588750255134014,-1.6952605180950882,0.4798227972214193,-8.615121447334982,0.0001813427905559911,-2.3163121045379915,0.09863667742556571,-1.6804299047303193,0.1862938702056744,1.0265464051021045,0.4790518409720065,0.9983932483773683
GBA,0.000206285271745,3.0864756812485776e-05,0.073104307466238,0.2370452428794969,0.1409549135008564,0.1110886788724343,2.10383808432263,1.2958218342856642,8.572826359989252,0.0485928762375249,GBA,0.1475995,0.0995392,1.497546,0.0561901,0.098560912,0.9432,-8.486250532849589,-10.38589558122006,-2.6158679882957228,-1.4395042578400283,-1.9593152021441413,-2.19742648786687,0.7437633357937662,-3.024278338294306,-0.2088537560537702,-10.137073791060093,3.9584465933897576e-05,-3.0484218726358736,0.04743372181006146,-2.4270751454899977,0.0882947044442002,1.4556896304103908,0.21485906160375848,1.0287536358817153
GBR,0.0008857166187203,1.2076921224843295e-05,0.0069734932220789,0.108502206194445,0.0800527852613848,0.0640220619287821,0.3069122716202375,4.627906219609868,36.60092314611156,0.1077972617349398,GBR,-1.642956,0.1126487,2.431756,0.1104726,-0.675625351,0.8225,-7.0291135019508255,-11.324214263434438,-4.96563900011998,-2.2209847726189924,-2.5250690461236642,-2.748527537386719,-1.1811933324268304,-2.227503022175502,-0.5606369180272679,-10.959155048399436,1.7398004392638697e-05,-4.161670868914907,0.01558150151110057,-2.3657738756895386,0.0938766234139661,0.910936025715728,-1.4966278090658096,2.669513479927808
IDN,0.0063658845599893,0.0360573630611119,7.070391333880618,5.927087437455258,4.78757022912362,2.867111126242212,36.45329247639452,33.55489791355987,294.930062053667,1.8765953800964923,IDN,0.571652,0.0265543,0.2839918,0.0693775,2.012917274,0.7134,-5.056802084124341,-3.322644190305905,1.9559158297034733,1.7795329350935885,1.566023023667813,1.0533049466112487,3.596031782945782,0.6294591670230212,2.0476418918297297,-4.5505385118349615,0.010561515351172689,0.94224686470213,2.5657398169649834,-0.19090512298555082,0.8262109728630918,1.0085885641170325,0.5765616698546299,0.2815734880442753
IL,0.0016187302053593,0.0001605424245933,0.0559962441451682,0.2967637233369752,0.2329590343251957,0.1697422757894348,1.6861389536828164,4.687444511492819,27.57077061174691,0.2163890361933168,IL,2.147033,0.6082341,2.07886,0.0990592,1.032793454,0.8384,-6.42611326094066,-8.7369523226385,-2.882470659332485,-1.2148190011126998,-1.4568926592210933,-1.773474017028219,0.5224412723656157,-1.5306773978343517,0.5797578961387182,-8.430530239159081,0.00021810581148226353,-2.213054456373959,0.10936608388707236,-1.5805647818891755,0.20585880004443496,0.7492324827825534,1.608626865206074,2.7746527917201087
IND,0.0080981623062435,6.277850332270622e-06,0.0064669314312775,0.1478597934837458,0.0966902571990588,0.0742139040700499,1.0591807307895904,2.136150771318776,10.091979617432116,0.0662758891636387,IND,0.8519063,0.0335565,0.4837709,0.04861,1.760970534,0.7449,-4.816118118816353,-11.978482939862042,-5.041053559438049,-1.9114907955554583,-2.336242634452378,-2.6008037599746263,0.05749571380475449,-2.713929110621848,1.1704779290544396,-8.495229164424853,0.00020444140238947716,-2.174975585796105,0.11361092735725015,-1.637090951004238,0.19454516131905708,0.8152777122707805,0.6945402193330652,0.5933817308123882
JPN,0.000744684599613,0.0001012644626463,0.0785282045923714,0.2343583776842542,0.1694940646294148,0.1216858219316439,1.820136345769038,5.258903720252574,27.142836652893543,0.1040789943329076,JPN,-0.1156291,0.0765681,1.353738,0.0534256,-0.085414681,0.8596,-7.202549785449423,-9.197775021227311,-2.5442974245541317,-1.4509038066530526,-1.7749373697103452,-2.106312785926156,0.5989114135404094,-2.2626051072678086,0.05477625995099222,-9.375517026990646,8.477439326426844e-05,-2.7209531132193785,0.06581199823876263,-2.0653794445642104,0.12677017918537517,0.8008108087886161,-0.09259703309049977,1.6904592010287613
KOR,0.0010909562460844,0.0001477581918453,0.0689797482125341,0.2665692839833909,0.2052756518991588,0.1195685345515971,1.7904301726649965,4.448822183379857,14.524547668670426,0.1766617641752604,KOR,-0.1187337,0.239789,1.448416,0.0767369,-0.081974861,0.8943,-6.820700677349339,-8.819933459253605,-2.6739423216318277,-1.3221210917409065,-1.583401559656564,-2.1238655611130657,0.5824559109050352,-1.7335183114404726,0.6170582505463786,-8.398105075937227,0.00022529383465722642,-2.1072011180841566,0.12157777250184632,-1.6225718065964698,0.19739039581289877,2.743612275423524,-0.3257592368264541,0.5279229915154144
MYS,0.0026135616775467,0.0119854910936951,5.697285489356959,2.936257416049561,2.443537495492126,1.6956345740168974,45.043435439879374,13.68986121489495,193.64982782581464,0.5381949387130086,MYS,0.8910681,0.0275718,0.7645574,0.0863958,1.165469198,0.8668,-5.947041360492786,-4.424058436241061,1.7399898314696371,1.077135782675173,0.8934467826040475,0.5280570507206979,3.807627256230778,-0.6195344448342405,1.8947543808792244,-5.115905226946076,0.006000543521464515,0.700011237607147,2.013775337359447,-0.6428465281108358,0.5257936055618915,1.2750466069463011,1.1361533574630873,0.5996309435551477
NOR,0.0009031648308881,0.0004247630497958,0.226769352656248,0.2798314744559464,0.2100684996991608,0.1510622803980933,3.623711439234986,9.210976811278163,79.18636980364012,0.3940463946301924,NOR,-0.2197423,0.5381185,1.5428,0.1070704,-0.14243084,0.7399,-7.009605484230495,-7.763979074409675,-1.48382184564096,-1.2735677339565739,-1.5603216124091257,-1.8900630742350513,1.287498760075341,-0.9312866237480194,-0.5399132965163695,-9.85923847496565,5.226213344862227e-05,-3.093071639729642,0.04536240322888559,-1.9664387656894227,0.13995438013005154,1.9469732905722885,-0.427832388908923,0.7924094323587321
NY,0.0010520027354806,0.0001006968360901,0.0505814200097159,0.2211816794718217,0.1687608028438573,0.1226199763448814,1.456049068455678,3.959138473749301,25.68458076716761,0.1913527760118892,NY,0.0290985,0.2287202,1.276946,0.0872189,0.022787573,0.8255,-6.8570595644032695,-9.203396177898195,-2.9841709636046274,-1.5087708361282794,-1.7792729344260014,-2.0986653295616455,0.3757266500690491,-1.653636559706439,0.0453367651849963,-9.391709058147946,8.341277706230271e-05,-2.86387167638213,0.05704746283137324,-1.8874579940390819,0.1514563227862818,1.410510191169203,0.04104373079773706,0.9053078864616435
NZL,0.0067796943005216,0.0014890721309296,0.2128222054249421,0.7404413560421205,0.5732172455088906,0.441752399124299,4.366043199853693,27.75688223811665,206.80140642144173,0.6213843157555555,NZL,1.471023,0.0769593,1.820466,0.069801,0.8080475,0.8644,-4.9938232664649895,-6.509602083921934,-1.5472981781571855,-0.3005088434919185,-0.5564904971079032,-0.8170057368422424,1.4738571526856934,-0.47580552251624497,1.1132422822570514,-6.9425190021670335,0.0009658335933853875,-1.1932828709515853,0.3032241824566542,-0.9945710270805892,0.3698820799121455,1.1737521506358333,1.7266164098847754,1.550979905778094
QTP,0.0539808026836075,0.0034842101938302,0.5805982613162997,0.5605242403996319,0.4238232456531474,0.2141345958501119,8.752877334389177,23.65046875706892,170.38574628967737,0.1065765888442028,QTP,3.846261,0.1295044,1.263858,0.040323,3.043269893,0.9387,-2.919126801484172,-5.659513890631997,-0.5436962220287135,-0.5788827895912876,-0.8584387841256341,-1.5411505090974424,2.169382484529993,-2.2388914082158315,2.314987137834593,-4.840769626980883,0.007900970910631007,0.5026731383741958,1.6531344266575478,-0.9163395191512551,0.39998048556519195,0.8721758485105746,3.3546159512681313,1.449086215994522
SGP,0.0017563945545517,0.0006304842360043,0.337515868544228,0.9780250406951528,0.7671107495206354,0.5413409154002952,4.514295415216417,5.336810099593929,26.870819644597027,0.2122231563969284,SGP,0.7178349,0.0353666,0.643419,0.031659,1.115656982,0.8766,-6.344492119627851,-7.369022405244109,-1.086142751866036,-0.022220005292322226,-0.26512409492169864,-0.613706040745377,1.5072491204755898,-1.5501169334170257,1.1254562222153681,-7.181575920792186,0.0007604684592760919,-1.0407594196058174,0.3531863634396001,-1.310693604308865,0.2696329729194093,1.0043820890925361,0.7209805164855319,0.640611782097122
TO,0.0011508408798178,0.0001807851596145,0.0787342826149989,0.2431279433519185,0.1816034270655969,0.1259960645404866,1.3734772325868685,4.841883262126491,30.277786354503856,0.1910520748945613,TO,0.5650048,0.2709837,2.389386,0.1308603,0.236464431,0.717,-6.767262403961776,-8.618201195153299,-2.541676607037583,-1.414167458350909,-1.705929941486418,-2.0715046063241065,0.31734565021403444,-1.6552092446689495,-0.21694655532119977,-9.619201690633117,6.644063667006848e-05,-3.0355578388457243,0.048047852439794606,-2.0204431404924184,0.1325966930950891,0.9578410988121352,0.5411848184661306,2.4945536404349244
VAN,0.0013438543602949,0.002420432054816,1.074878314495923,0.7654771101900912,0.5921848645216135,0.4005448572605208,21.588684577122347,15.700588961188892,147.48327645568568,0.6065183533269553,VAN,0.8767365,0.1632934,1.1896,0.062292,0.737001093,0.8101,-6.612213405628678,-6.023809219701093,0.07220745935475006,-0.26725596610796304,-0.5239364216932455,-0.9149295155982395,3.0721693152561307,-0.5000202900056738,1.0920763010381844,-6.829306934378459,0.0010816074828560445,-0.7319987131956498,0.4809467541697553,-1.0125291410915727,0.3632989822758417,1.2172854341888253,1.067238571071691,0.9772564154542157
WA,0.0007727099777523,0.0002884165335547,0.2153514918990298,0.3385248196914088,0.2496349112064698,0.1982931186245017,5.851366931662062,5.871210350001072,68.25933768653655,0.2395255966000784,WA,0.2184648,0.1649369,1.445197,0.0693991,0.151166104,0.8269,-7.165606770267029,-8.151104825643648,-1.5354837397185532,-1.0831578667434516,-1.387755783651903,-1.618008945901668,1.7666752974806703,-1.4290949926850063,0.2282380722319346,-8.794956970778447,0.00015149514635656546,-2.216970414499254,0.10893864833831539,-1.7276883391494078,0.1776947054491132,1.2287593489551134,0.268440665417609,1.176143238485987
YYN,0.0009621347434848,0.0003223128132833,0.2891266210751795,0.4480240581572651,0.340573414136668,0.268265720539048,6.774341405363076,4.65465431310566,46.20087037622102,0.1094772112006961,YYN,1.673687137,0.72249,1.303109,0.1116408,1.28438,0.8195,-6.946356051114377,-8.039988014167376,-1.2408905516146758,-0.8029083467651168,-1.077124569769928,-1.3157772951286553,1.9131421525001056,-2.2120388682735266,0.8639556490918185,-7.784713881834287,0.00041604635158349197,-1.3907096874538267,0.24889860172224842,-1.641388058452474,0.1937109734384276,0.8201607038651678,1.3726924203319975,1.5888459345331274
